,品牌,商品名稱,6個月評分,價格,商品說明,,最佳配對,pair_1,pair_2,pair_3,pair_4,pair_5
商品,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table1,商品名稱,品牌,6個月評分,價格,商品說明
品牌,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table2,商品簡述,商品,品牌,價錢,評分
商品簡述,0.021029769,0.02102977,0.021029769,0.021029769,0.021029769,,,,,,,
評分,0.021029765,0.021029765,0.021029765,0.021029763,0.021029765,,successful pair,pair_1,,,,
價錢,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table1,價格,,,,
,,,,,,,Table2,價錢,,,,
,,,,,,,,,,,,
,,,,,,,failed pair,pair_1,pair_2,pair_3,pair_4,
,,,,,,,Table1,商品名稱,品牌,6個月評分,商品說明,
,,,,,,,Table2,商品簡述,商品,品牌,評分,
