,電影(中),電影(英),最快可訂票場次,剩餘座位,,最佳配對,pair_1,pair_2,pair_3,pair_4
電影(中),0.021029765,0.021029763,0.021029765,0.021029767,,Table1,剩餘座位,電影(中),電影(英),最快可訂票場次
電影(英),0.021029765,0.021029765,0.021029765,0.021029765,,Table2,上映日期,片長,電影(英),電影(中)
上映日期,0.021029765,0.021029765,0.021029765,0.021029769,,,,,,
片長,0.021029767,0.021029767,0.021029767,0.021029769,,successful pair,pair_1,,,
發行公司,0.021029765,0.021029765,0.021029765,0.021029765,,Table1,電影(英),,,
評分,0.021029765,0.021029765,0.021029765,0.021029767,,Table2,電影(英),,,
,,,,,,,,,,
,,,,,,failed pair,pair_1,pair_2,pair_3,
,,,,,,Table1,剩餘座位,電影(中),最快可訂票場次,
,,,,,,Table2,上映日期,片長,電影(中),
