,Name,Location,Price,Category,In Stock,,最佳配對,pair_1,pair_2,pair_3,pair_4
產品名稱,0.021029772,0.02102977,0.021029772,0.021029772,0.021029772,,Table1,Name,Location,Price,Category
產地,0.02102977,0.021029769,0.021029769,0.021029769,0.021029769,,Table2,產品名稱,價錢,庫存,產地
價錢,0.021029772,0.021029772,0.021029772,0.021029772,0.021029772,,,,,,
庫存,0.021029772,0.021029772,0.021029772,0.021029772,0.021029772,,successful pair,pair_1,,,
,,,,,,,Table1,Name,,,
,,,,,,,Table2,產品名稱,,,
,,,,,,,,,,,
,,,,,,,failed pair,pair_1,pair_2,pair_3,
,,,,,,,Table1,Location,Price,Category,
,,,,,,,Table2,價錢,庫存,產地,
