,新聞來源,文章標題,文章作者,發布日期,,最佳配對,pair_1,pair_2,pair_3,pair_4
來源,0.021029769,0.021029769,0.021029769,0.021029769,,Table1,新聞來源,文章標題,文章作者,發布日期
標題,0.021029767,0.021029769,0.021029769,0.021029769,,Table2,來源,標題,作者,日期
作者,0.021029769,0.021029769,0.021029769,0.021029769,,,,,,
日期,0.021029769,0.021029769,0.021029769,0.021029769,,successful pair,pair_1,pair_2,pair_3,pair_4
網址,0.021029767,0.021029769,0.021029769,0.021029769,,Table1,新聞來源,文章標題,文章作者,發布日期
,,,,,,Table2,來源,標題,作者,日期
,,,,,,,,,,
,,,,,,failed pair,,,,
,,,,,,Table1,,,,
,,,,,,Table2,,,,
