,标题,文章内容,文章链接,时间,,最佳配對,pair_1,pair_2,pair_3,pair_4
标题,0.021029769,0.021029769,0.021029769,0.021029769,,Table1,标题,文章内容,文章链接,时间
摘要,0.021029769,0.021029769,0.021029769,0.021029769,,Table2,标题,摘要,作者,链接
作者,0.021029769,0.021029769,0.021029769,0.021029769,,,,,,
链接,0.021029769,0.021029769,0.021029769,0.021029769,,successful pair,pair_1,pair_2,,
发表时间,0.021029769,0.021029769,0.021029769,0.021029769,,Table1,标题,文章内容,,
Unnamed: 5,0.021029769,0.021029769,0.021029769,0.021029769,,Table2,标题,摘要,,
Unnamed: 6,0.021029769,0.021029769,0.021029769,0.021029769,,,,,,
Unnamed: 7,0.021029769,0.021029769,0.021029769,0.021029769,,failed pair,pair_1,pair_2,,
,,,,,,Table1,文章链接,时间,,
,,,,,,Table2,作者,链接,,
