,建物名稱,地址,總價,格局,建坪,單價,主+陽,屋齡,類型,樓層,邊間/暗房,建物朝向,警衛管理,管理費,url,,最佳配對,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7,pair_8,pair_9,pair_10,pair_11,pair_12,pair_13,pair_14
名稱,0.021029774,0.021029774,0.021029774,0.021029774,0.02102977,0.021029774,0.02102977,0.02102977,0.021029774,0.021029774,0.02102977,0.021029774,0.02102977,0.021029774,0.021029774,,Table1,建物名稱,地址,總價,格局,樓層,管理費,url,單價,類型,建物朝向,建坪,主+陽,邊間/暗房,屋齡
價格,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,Table2,名稱,價格,每坪單價,格局,總坪數,屋齡,url,車位,電梯,管理費,地址,樓層,座向,類型
每坪單價,0.021029774,0.021029774,0.021029774,0.021029774,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029774,0.02102977,0.021029772,0.02102977,0.021029772,0.021029774,,,,,,,,,,,,,,,,
總坪數,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029774,0.02102977,0.021029774,0.02102977,0.021029774,0.021029772,,successful pair,pair_1,pair_2,pair_3,,,,,,,,,,,
屋齡,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,Table1,建物名稱,格局,url,,,,,,,,,,,
車位,0.021029772,0.021029772,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029772,0.021029772,,Table2,名稱,格局,url,,,,,,,,,,,
格局,0.021029774,0.021029774,0.021029774,0.021029774,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029774,0.02102977,0.021029774,0.02102977,0.021029774,0.021029774,,,,,,,,,,,,,,,,
類型,0.02102977,0.02102977,0.02102977,0.02102977,0.021029767,0.02102977,0.021029769,0.021029769,0.02102977,0.02102977,0.021029769,0.02102977,0.021029769,0.02102977,0.02102977,,failed pair,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7,pair_8,pair_9,pair_10,pair_11,,,
電梯,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,Table1,地址,總價,樓層,管理費,單價,類型,建物朝向,建坪,主+陽,邊間/暗房,屋齡,,,
管理費,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,Table2,價格,每坪單價,總坪數,屋齡,車位,電梯,管理費,地址,樓層,座向,類型,,,
地址,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,,,,,,,,,,,,,,,
樓層,0.021029772,0.021029774,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029772,0.02102977,0.021029772,0.02102977,0.021029774,0.021029772,,,,,,,,,,,,,,,,
座向,0.02102977,0.02102977,0.02102977,0.02102977,0.021029769,0.02102977,0.021029767,0.021029769,0.02102977,0.02102977,0.02102977,0.02102977,0.021029769,0.02102977,0.02102977,,,,,,,,,,,,,,,,
url,0.021029774,0.021029774,0.021029774,0.021029774,0.02102977,0.021029772,0.02102977,0.02102977,0.021029772,0.021029774,0.02102977,0.021029772,0.02102977,0.021029774,0.021029774,,,,,,,,,,,,,,,,
