,id,url,img,name,description,information,price,,最佳配對,pair_1,pair_2,pair_3,pair_4,pair_5
url,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table1,url,id,img,name,description
img_url,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table2,name,url,img_url,info,price
name,0.021029765,0.021029767,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,,,,,,
info,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,successful pair,pair_1,,,,
price,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,0.021029765,,Table1,img,,,,
,,,,,,,,,Table2,img_url,,,,
,,,,,,,,,,,,,,
,,,,,,,,,failed pair,pair_1,pair_2,pair_3,pair_4,
,,,,,,,,,Table1,url,id,name,description,
,,,,,,,,,Table2,name,url,info,price,
