,article_name,article_url,article_time,article_contet,,最佳配對,pair_1,pair_2,pair_3,pair_4
title,0.021029765,0.021029765,0.021029769,0.021029765,,Table1,article_time,article_url,article_name,article_contet
url,0.021029765,0.021029767,0.021029769,0.021029765,,Table2,content,time,author,title
content,0.021029769,0.02102977,0.021029772,0.021029769,,,,,,
author,0.021029769,0.021029769,0.021029772,0.021029769,,successful pair,,,,
time,0.021029769,0.02102977,0.021029772,0.021029769,,Table1,,,,
,,,,,,Table2,,,,
,,,,,,,,,,
,,,,,,failed pair,pair_1,pair_2,pair_3,pair_4
,,,,,,Table1,article_time,article_url,article_name,article_contet
,,,,,,Table2,content,time,author,title
