,color,sn,text,time,userid,title,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,,最佳配對,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
num,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,Table1,color,sn,text,time,userid,title,Unnamed: 6
time,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,Table2,num,time,mode,color,id,sn,text
mode,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,,,,,,,,
color,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,successful pair,pair_1,,,,,,
id,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,Table1,userid,,,,,,
sn,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,Table2,id,,,,,,
text,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,0.021029769,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed pair,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table1,color,sn,text,time,title,Unnamed: 6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table2,num,time,mode,color,sn,text,
